project_name,project_owner,project_creation_date,project_id,project_last_modif_date,project_xmi,project_type,project_downloaded,diagram_project_id,diagram_id,diagram_name,diagram_kind,diagram_jpeg_link,diagram_number_of_elements
ACTSCRex,,1653308132883,_CycGMNqSEeyR_KDGOPNL5w,1656516174259,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/xmi,UML,Yes,_CycGMNqSEeyR_KDGOPNL5w,_Cyg_bNqSEeyR_KDGOPNL5w,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/diagrams/_Cyg_bNqSEeyR_KDGOPNL5w/jpeg,0
ACTSCRex,,1653308132883,_CycGMNqSEeyR_KDGOPNL5w,1656516174259,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/xmi,UML,Yes,_CycGMNqSEeyR_KDGOPNL5w,_Cyg_b9qSEeyR_KDGOPNL5w,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/diagrams/_Cyg_b9qSEeyR_KDGOPNL5w/jpeg,0
INS vaje,,1650351421888,_6hEcAL-tEeySNfBKdUOsxw,1656514455766,https://app.genmymodel.com/api/projects/_6hEcAL-tEeySNfBKdUOsxw/xmi,UML,Yes,_6hEcAL-tEeySNfBKdUOsxw,_6hFDEr-tEeySNfBKdUOsxw,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_6hEcAL-tEeySNfBKdUOsxw/diagrams/_6hFDEr-tEeySNfBKdUOsxw/jpeg,23
INS vaje,,1650351421888,_6hEcAL-tEeySNfBKdUOsxw,1656514455766,https://app.genmymodel.com/api/projects/_6hEcAL-tEeySNfBKdUOsxw/xmi,UML,Yes,_6hEcAL-tEeySNfBKdUOsxw,_G78l4aNuEDqQN4hB3QXz-w,CD Hotel,ClassDiagram,https://app.genmymodel.com/api/projects/_6hEcAL-tEeySNfBKdUOsxw/diagrams/_G78l4aNuEDqQN4hB3QXz-w/jpeg,396
teste,,1653518458721,_vx79ENx7EeyR_KDGOPNL5w,1656512521434,https://app.genmymodel.com/api/projects/_vx79ENx7EeyR_KDGOPNL5w/xmi,BPMN2,No,,,,,,
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_eL3mk2MfEeyzq6ra3GZCdA,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_eL3mk2MfEeyzq6ra3GZCdA/jpeg,512
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_t9AtUEVNEDqR8_K8a0j-kg,usecase-diagram,UsecaseDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_t9AtUEVNEDqR8_K8a0j-kg/jpeg,394
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_bmH6IFanEDqHK9mNIcZlHQ,usecase-diagram-2,UsecaseDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_bmH6IFanEDqHK9mNIcZlHQ/jpeg,40
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_EnNU4Z1UEDqal-PyDfoLKA,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_EnNU4Z1UEDqal-PyDfoLKA/jpeg,124
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_Z-sNQdKxEDqJsuvUCI0x7Q,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_Z-sNQdKxEDqJsuvUCI0x7Q/jpeg,115
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_Q3Db4dLIEDqm7fn-T0XDag,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_Q3Db4dLIEDqm7fn-T0XDag/jpeg,97
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_fRSbYdLJEDqm7fn-T0XDag,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_fRSbYdLJEDqm7fn-T0XDag/jpeg,170
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_3ajPQNNqEDq-P9LfSy063Q,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_3ajPQNNqEDq-P9LfSy063Q/jpeg,88
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_ONIZwdNsEDq-P9LfSy063Q,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_ONIZwdNsEDq-P9LfSy063Q/jpeg,140
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_T-V-4NN2EDq-P9LfSy063Q,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_T-V-4NN2EDq-P9LfSy063Q/jpeg,206
